state,district,candidate,party,role,seat_status,endorsements,corporate_pac_money,aipac_money,stock_trading_notes,funds
CA,31,Gil Cisneros,D,incumbent,,,,,,
CA,32,Grace Napolitano,D,incumbent,,,,,,
CA,33,Pete Aguilar,D,incumbent,,,,,,
CA,33,Stephanie Vargas,R,candidate,,,,,,
CA,34,Jimmy Gomez,D,incumbent,,,,,,
CA,34,Jimmy Gómez,R,candidate,,,,,,
CA,35,Norma Torres,D,incumbent,,,,,,
CA,36,Houston Brignano,R,candidate,,,,,,
CA,36,Ted Lieu,D,incumbent,,,,,,
CA,37,Sydney Kamlager,D,incumbent,,,,,,
CA,37,Tony Cárdenas,R,candidate,,,,,,
CA,38,Pedro Casas,R,candidate,,,,,,
CA,38,Sanchez,D,incumbent,,,,,,
CA,39,Mark Takano,D,incumbent,,,,,,
CA,39,Steve Manos,R,candidate,,,,,,
CA,4,Eric Jones,R,candidate,,,,,,
CA,4,Mike Thompson,D,incumbent,,,,,,
CA,40,Esther Kim Varet,D,candidate,,,,,,
CA,40,Kim,R,incumbent,,,,,,
CA,41,Calvert,R,incumbent,,,,,,
CA,41,Mitch Clemmons,D,candidate,,,,,,
CA,42,Brian Burley,R,candidate,,,,,,
CA,42,Robert Garcia,D,incumbent,,,,,,
CA,43,Cristian Morales,R,candidate,,,,,,
CA,43,Maxine Waters,D,incumbent,,,,,,
CA,44,Genevieve Angel,R,candidate,,,,,,
CA,44,Nanette Barragan,D,incumbent,,,,,,
CA,45,Chuong Vo,R,candidate,,,,,,
CA,45,Derek Tran,D,incumbent,,,,,,
CA,46,David Pan,R,candidate,,,,,,
CA,46,Lou Correa,D,incumbent,,,,,,
CA,47,David Min,D,incumbent,,,,,,
CA,47,Jenny Le Roux,R,candidate,,,,,,
CA,48,Issa,R,incumbent,,,,,,
CA,48,Marni von Wilpert,D,candidate,,,,,,
CA,49,Armen Kurdian,R,candidate,,,,,,
CA,49,Mike Levin,D,incumbent,,,,,,
CA,5,Tom McClintock Challenger,D,candidate,,,,,,
CA,50,Scott Peters,D,incumbent,,,,,,
CA,50,Steve Cohen,R,candidate,,,,,,
CA,51,Ricardo Cabrera,R,candidate,,,,,,
CA,51,Sara Jacobs,D,incumbent,,,,,,
CA,52,Jeff Belle,R,candidate,,,,,,
CA,52,Juan Vargas,D,incumbent,,,,,,
CA,6,Ami Bera,D,incumbent,,,,,,
CA,6,Robb Tucker,R,candidate,,,,,,
CA,7,Doris Matsui,D,incumbent,,,,,,
CA,8,John Garamendi,D,incumbent,,,,,,
CA,8,Rudy Recile,R,candidate,,,,,,
CA,9,Tom McClintock,R,incumbent,,,,,,
CO,1,Diana DeGette,D,incumbent,,,,,,
CO,2,Joe Neguse,D,incumbent,,,,,,
CO,3,Dwayne Romero,D,candidate,,,,,,
CO,3,Jeff Hurd,R,incumbent,,,,,,
CO,4,Jena Griswold,D,candidate,,,,,,
CO,4,Lauren Boebert,R,incumbent,,,,,,
CO,5,Democratic Nominee (Primary concluded),D,candidate,,,,,,
CO,5,Democratic Nominee TBD,D,candidate,,,,,,
CO,5,Jeff Hurd,R,candidate,,,,,,
CO,6,Buck,R,candidate,,,,,,
CO,6,Jason Crow,D,incumbent,,,,,,
CO,7,Brittany Pettersen,D,incumbent,,,,,,
CO,7,Tim Bennett,R,candidate,,,,,,
CO,8,Gabe Evans,R,incumbent,,,,,,
CO,8,Yadira Caraveo,D,candidate,,,,,,
CT,1,Jahana Hayes,R,candidate,,,,,,
CT,1,Larson,D,incumbent,,,,,,
CT,2,Courtney Challenger,R,candidate,,,,,,
CT,3,Delauro,D,incumbent,,,,,,
CT,3,Rosa DeLauro,R,candidate,,,,,,
CT,4,Himes,D,incumbent,,,,,,
CT,4,Jim Himes,R,candidate,,,,,,
CT,5,Hayes,D,incumbent,,,,,,
CT,5,John Larson,R,candidate,,,,,,
DE,0,Lisa Blunt Rochester,R,candidate,,,,,,
DE,0,McBride,D,incumbent,,,,,,
FL,1,Gay Valimont,D,candidate,,,,,,
FL,1,Patronis,R,incumbent,,,,,,
FL,10,Frost,D,incumbent,,,,,,
FL,10,Laurie Trappen,R,candidate,,,,,,
FL,11,Daniel Webster,R,incumbent,,,,,,
FL,11,Democratic Challenger (Primary concluded),D,candidate,,,,,,
FL,12,Democratic Challenger (Primary concluded),D,candidate,,,,,,
FL,12,Gus Bilirakis,R,incumbent,,,,,,
FL,12,Gus Bilirakis Challenger,D,candidate,,,,,,
FL,13,Anna Paulina Luna,R,incumbent,,,,,,
FL,13,Democratic Challenger (Primary concluded),D,candidate,,,,,,
FL,13,Luna Challenger,D,candidate,,,,,,
FL,14,Kathy Castor,D,incumbent,,,,,,
FL,14,Republican Challenger (Primary TBD),R,candidate,,,,,,
FL,14,Republican Challenger TBD,R,candidate,,,,,,
FL,15,Jared Moskowitz,D,candidate,,,,,,
FL,15,Lee,R,incumbent,,,,,,
FL,16,Democratic Challenger (Primary concluded),D,candidate,,,,,,
FL,16,Vern Buchanan,R,incumbent,,,,,,
FL,17,Sheila Cherfilus-McCormick,D,candidate,,,,,,
FL,17,Steube,R,incumbent,,,,,,
FL,18,Franklin,R,incumbent,,,,,,
FL,18,Greg Steube,D,candidate,,,,,,
FL,19,Brian Mast,D,candidate,,,,,,
FL,19,Donalds,R,incumbent,,,,,,
FL,2,Dunn,R,incumbent,,,,,,
FL,2,Yen Bailey,D,candidate,,,,,,
FL,20,Cherfilus-McCormick,D,incumbent,,,,,,
FL,20,Christine McCarthy,R,candidate,,,,,,
FL,21,Jared Moskowitz,D,candidate,,,,,,
FL,21,Mast,R,incumbent,,,,,,
FL,22,Lois Frankel,D,incumbent,,,,,,
FL,22,Republican Challenger (Primary concluded),R,candidate,,,,,,
FL,23,Al Lawson,R,candidate,,,,,,
FL,23,Moskowitz,D,incumbent,,,,,,
FL,24,Frederica Wilson,R,candidate,,,,,,
FL,24,Wilson,D,incumbent,,,,,,
FL,25,Debbie Wasserman Schultz,D,incumbent,,,,,,
FL,25,Republican Challenger (Primary TBD),R,candidate,,,,,,
FL,25,Republican Challenger TBD,R,candidate,,,,,,
FL,26,Diaz-Balart,R,incumbent,,,,,,
FL,26,Mario Díaz-Balart,D,candidate,,,,,,
FL,27,Democratic Challenger (Primary concluded),D,candidate,,,,,,
FL,27,Maria Elvira Salazar,R,incumbent,,,,,,
FL,27,Salazar Challenger,D,candidate,,,,,,
FL,28,Carlos Giménez,D,candidate,,,,,,
FL,28,Gimenez,R,incumbent,,,,,,
FL,3,Cammack,R,incumbent,,,,,,
FL,3,Tom Wells,D,candidate,,,,,,
FL,4,Aaron Bean,R,incumbent,,,,,,
FL,4,Al Lawson,D,incumbent,,,,,,
FL,4,Democratic Challenger (Primary concluded),D,candidate,,,,,,
FL,5,Al Lawson,D,candidate,,,,,,
FL,5,Rutherford,R,incumbent,,,,,,
FL,6,Fine,R,incumbent,,,,,,
FL,6,Kathy Castor,D,candidate,,,,,,
FL,7,Cory Mills,R,incumbent,,,,,,
FL,7,Democratic Challenger (Primary concluded),D,candidate,,,,,,
FL,8,Democratic Challenger (Primary concluded),D,candidate,,,,,,
FL,8,Kat Cammack,R,incumbent,,,,,,
FL,8,Kat Cammack Challenger,D,candidate,,,,,,
FL,9,Maxwell Alejandro Frost,D,incumbent,,,,,,
FL,9,Republican Challenger (Primary TBD),R,candidate,,,,,,
FL,9,Republican Challenger TBD,R,candidate,,,,,,
GA,1,Carter,R,incumbent,,,,,,
GA,1,Jim Kingston,D,candidate,,,,,,
GA,10,Carolyn Bourdeaux,D,candidate,,,,,,
GA,10,Collins,R,incumbent,,,,,,
GA,11,Chris Harden,D,candidate,,,,,,
GA,11,Loudermilk,R,incumbent,,,,,,
GA,12,Allen,R,incumbent,,,,,,
GA,12,Sanford Bishop,D,candidate,,,,,,
GA,13,Jonathan Chavez,R,candidate,,,,,,
GA,13,Scott,D,incumbent,,,,,,
GA,14,Greene,R,incumbent,,,,,,
GA,14,Vernon Jones,D,candidate,,,,,,
GA,2,Bishop,D,incumbent,,,,,,
GA,2,Matt Day,R,candidate,,,,,,
GA,3,Jack,R,incumbent,,,,,,
GA,3,Maura Keller,D,candidate,,,,,,
GA,4,James Duffie,R,candidate,,,,,,
GA,4,Johnson,D,incumbent,,,,,,
GA,5,John Salveson,R,candidate,,,,,,
GA,5,Williams,D,incumbent,,,,,,
GA,6,Kevin Martin,R,candidate,,,,,,
GA,6,McBath,D,incumbent,,,,,,
GA,7,Anthony Kozycki,D,candidate,,,,,,
GA,7,McCormick,R,incumbent,,,,,,
GA,8,Lucy McBath,D,candidate,,,,,,
GA,8,Scott,R,incumbent,,,,,,
GA,9,Caitlyn Gegen,D,candidate,,,,,,
GA,9,Clyde,R,incumbent,,,,,,
HI,1,Case,D,incumbent,,,,,,
HI,1,Jill Tokuda,R,candidate,,,,,,
HI,2,Kai Kahele,R,candidate,,,,,,
HI,2,Tokuda,D,incumbent,,,,,,
IA,1,Democratic Challenger (Primary concluded),D,candidate,,,,,,
IA,1,Democratic Challenger TBD,D,candidate,,,,,,
IA,1,Mariannette Miller-Meeks,R,incumbent,,,,,,
IA,2,Ashley Hinson,R,incumbent,,,,,,
IA,2,Democratic Challenger (Primary concluded),D,candidate,,,,,,
IA,2,Democratic Challenger TBD,D,candidate,,,,,,
IA,3,Democratic Challenger (Primary concluded),D,candidate,,,,,,
IA,3,Democratic Challenger TBD,D,candidate,,,,,,
IA,3,Zach Nunn,R,incumbent,,,,,,
IA,4,Feenstra,R,incumbent,,,,,,
IA,4,Rita Hart,D,candidate,,,,,,
ID,1,Fulcher,R,incumbent,,,,,,
ID,1,Mike Simpson,D,candidate,,,,,,
ID,2,Jim Risch,D,candidate,,,,,,
ID,2,Simpson,R,incumbent,,,,,,
IL,1,Christian Maxwell,R,candidate,,,,,,
IL,1,Jackson,D,incumbent,,,,,,
IL,10,Brad Schneider,R,candidate,,,,,,
IL,10,Schneider,D,incumbent,,,,,,
IL,11,Foster,D,incumbent,,,,,,
IL,11,Jeff Walter,R,candidate,,,,,,
IL,12,Bost,R,incumbent,,,,,,
IL,12,Mike Bost,D,candidate,,,,,,
IL,13,Budzinski,D,incumbent,,,,,,
IL,13,Jeff Wilson,R,candidate,,,,,,
IL,14,Randy Hultgren,R,candidate,,,,,,
IL,14,Underwood,D,incumbent,,,,,,
IL,15,Jennifer Todd,D,candidate,,,,,,
IL,15,Miller,R,incumbent,,,,,,
IL,16,Darin LaHood opponent,D,candidate,,,,,,
IL,16,LaHood,R,incumbent,,,,,,
IL,17,Dillan Vancil,R,candidate,,,,,,
IL,17,Sorensen,D,incumbent,,,,,,
IL,2,Kelly,D,incumbent,,,,,,
IL,2,Michael Noack,R,candidate,,,,,,
IL,3,Angel Oakley,R,candidate,,,,,,
IL,3,Ramirez,D,incumbent,,,,,,
IL,4,Garcia,D,incumbent,,,,,,
IL,4,Lupe Castillo,R,candidate,,,,,,
IL,5,Quigley,D,incumbent,,,,,,
IL,5,Tommy Hanson,R,candidate,,,,,,
IL,6,Casten,D,incumbent,,,,,,
IL,6,Sean Casten opponent,R,candidate,,,,,,
IL,7,Chad Koppie,R,candidate,,,,,,
IL,7,Davis,D,incumbent,,,,,,
IL,8,Krishn,D,incumbent,,,,,,
IL,8,Raja Krishnamoorthi,R,candidate,,,,,,
IL,9,John Elleson,R,candidate,,,,,,
IL,9,Shakowsky,D,incumbent,,,,,,
IN,1,Barb Regnitz,R,candidate,,,,,,
IN,1,Mrvan,D,incumbent,,,,,,
IN,2,Frank Mrvan,D,candidate,,,,,,
IN,2,Yakym,R,incumbent,,,,,,
IN,3,Kelly Thompson,D,candidate,,,,,,
IN,3,Stutzman,R,incumbent,,,,,,
IN,4,Baird,R,incumbent,,,,,,
IN,4,Jim Banks,D,candidate,,,,,,
IN,5,Victoria Spartz Challenger,D,candidate,,,,,,
IN,6,Greg Pence,D,candidate,,,,,,
IN,6,Wirth,R,incumbent,,,,,,
IN,7,André Carson Challenger,R,candidate,,,,,,
IN,8,Larry Bucshon,D,candidate,,,,,,
IN,8,Messmer,R,incumbent,,,,,,
IN,9,Brad Meyer,D,candidate,,,,,,
IN,9,Houchin,R,incumbent,,,,,,
KS,1,Tracey Mann Challenger,D,candidate,,,,,,
KS,2,Democratic Challenger (Primary concluded),D,candidate,,,,,,
KS,3,Republican Challenger (Primary concluded),R,candidate,,,,,,
KS,3,Sharice Davids,D,incumbent,,,,,,
KS,4,Democratic Challenger (Primary concluded),D,candidate,,,,,,
KS,4,Ron Estes Challenger,D,candidate,,,,,,
KY,1,Comer,R,incumbent,,,,,,
KY,1,"John ""Drew"" Williams",D,candidate,,,,,,
KY,2,Guthrie,R,incumbent,,,,,,
KY,2,S. Brett Guthrie,D,candidate,,,,,,
KY,3,Maria Rodriguez,R,candidate,,,,,,
KY,3,McGarvey,D,incumbent,,,,,,
KY,4,Massie,R,incumbent,,,,,,
KY,4,Thomas Massie,D,candidate,,,,,,
KY,5,Ned Pillersdorf,D,candidate,,,,,,
KY,5,Rogers,R,incumbent,,,,,,
KY,6,Andy Barr,R,incumbent,,,,,,
KY,6,Democratic Challenger (Primary concluded),D,candidate,,,,,,
LA,1,Scalise,R,incumbent,,,,,,
LA,1,Steve Scalise,D,candidate,,,,,,
LA,2,Carter,D,incumbent,,,,,,
LA,2,Troy Carter,R,candidate,,,,,,
LA,3,Clay Higgins,D,candidate,,,,,,
LA,3,Higgans,R,incumbent,,,,,,
LA,4,Johnson,R,incumbent,,,,,,
LA,4,Mike Johnson,D,candidate,,,,,,
LA,5,Garrett Graves,D,candidate,,,,,,
LA,5,Letlow,R,incumbent,,,,,,
LA,6,Republican Challenger (Primary concluded),R,candidate,,,,,,
MA,1,John Olver,D,incumbent,,,,,,
MA,2,Jim McGovern,R,candidate,,,,,,
MA,2,Jim McGovern,D,incumbent,,,,,,
MA,3,Lori Trahan,D,incumbent,,,,,,
MA,4,Jake Auchincloss,R,candidate,,,,,,
MA,4,Jake Auchincloss,D,incumbent,,,,,,
MA,5,Katherine Clark,R,candidate,,,,,,
MA,5,Katherine Clark,D,incumbent,,,,,,
MA,6,Seth Moulton,R,candidate,,,,,,
MA,6,Seth Moulton,D,incumbent,,,,,,
MA,7,Ayanna Pressley,R,candidate,,,,,,
MA,7,Ayanna Pressley,D,incumbent,,,,,,
MA,8,Stephen Lynch,R,candidate,,,,,,
MA,8,Stephen Lynch,D,incumbent,,,,,,
MA,9,Bill Keating,D,incumbent,,,,,,
MD,1,Andrew Harris Challenger,D,candidate,,,,,,
MD,1,Democratic Challenger (Primary concluded),D,candidate,,,,,,
MD,2,Dutch Ruppersberger,R,candidate,,,,,,
MD,2,Olszewski,D,incumbent,,,,,,
MD,3,Elfreth,D,incumbent,,,,,,
MD,3,John Sarbanes,R,candidate,,,,,,
MD,4,Glenn Ivey,R,candidate,,,,,,
MD,4,Ivey,D,incumbent,,,,,,
MD,5,Hoyer,D,incumbent,,,,,,
MD,5,Steny Hoyer,R,candidate,,,,,,
MD,6,David Trone,R,candidate,,,,,,
MD,6,Mfume,D,incumbent,,,,,,
MD,7,Kweisi Mfume,R,candidate,,,,,,
MD,7,Raskin,D,incumbent,,,,,,
MD,8,Jamie Raskin,R,candidate,,,,,,
MD,8,McClain-Delaney,D,incumbent,,,,,,
ME,1,Pingree Challenger,R,candidate,,,,,,
ME,2,Republican Challenger (Primary concluded),R,candidate,,,,,,
MI,1,Bergman,R,incumbent,,,,,,
MI,1,Callie Barr,D,candidate,,,,,,
MI,10,Democratic Challenger (Primary concluded),D,candidate,,,,,,
MI,10,Democratic Challenger TBD,D,candidate,,,,,,
MI,10,John James,R,incumbent,,,,,,
MI,11,Gretchen Driskell,R,candidate,,,,,,
MI,11,Stevens,D,incumbent,,,,,,
MI,12,John James,R,candidate,,,,,,
MI,12,Tlaib,D,incumbent,,,,,,
MI,13,Maureen Henderson,R,candidate,,,,,,
MI,13,Thanedar,D,incumbent,,,,,,
MI,2,Benjamin Ambrose,D,candidate,,,,,,
MI,2,Moolenaar,R,incumbent,,,,,,
MI,3,Scholten,D,incumbent,,,,,,
MI,3,Terri DeBoer,R,candidate,,,,,,
MI,4,Bill Huizenga,R,incumbent,,,,,,
MI,4,Democratic Challenger (Primary concluded),D,candidate,,,,,,
MI,4,Democratic Challenger TBD,D,candidate,,,,,,
MI,5,John Tiedtke,D,candidate,,,,,,
MI,5,Walberg,R,incumbent,,,,,,
MI,6,Dingell,D,incumbent,,,,,,
MI,6,Fred Upton,R,candidate,,,,,,
MI,7,Barrett,R,incumbent,,,,,,
MI,7,Elissa Slotkin,D,candidate,,,,,,
MI,8,Elissa Slotkin,D,incumbent,,,,,,
MI,8,Republican Challenger (Primary concluded),R,candidate,,,,,,
MI,9,Curtis Hertel Jr.,D,candidate,,,,,,
MI,9,McClain,R,incumbent,,,,,,
MN,1,Democratic Challenger (Primary concluded),D,candidate,,,,,,
MN,1,Jim Finstad,R,incumbent,,,,,,
MN,2,Angie Craig,D,incumbent,,,,,,
MN,2,Republican Challenger (Primary concluded),R,candidate,,,,,,
MN,3,Dean Phillips,R,candidate,,,,,,
MN,3,Morrison,D,incumbent,,,,,,
MN,4,Betty McCollum,R,candidate,,,,,,
MN,4,McCollum,D,incumbent,,,,,,
MN,5,Ilhan Omar,R,candidate,,,,,,
MN,5,Omar,D,incumbent,,,,,,
MN,6,Emmer Challenger,D,candidate,,,,,,
MN,7,Fischbach Challenger,D,candidate,,,,,,
MN,8,Stauber Challenger,D,candidate,,,,,,
MO,1,Bell,D,incumbent,,,,,,
MO,1,Emmanuel Cleaver,R,candidate,,,,,,
MO,2,Ann Wagner,R,incumbent,,,,,,
MO,2,Democratic Challenger (Primary concluded),D,candidate,,,,,,
MO,3,Onder,R,incumbent,,,,,,
MO,3,Robert Schafly,D,candidate,,,,,,
MO,4,Alford,R,incumbent,,,,,,
MO,4,Emanuel Cleaver,D,candidate,,,,,,
MO,5,Emanuel Cleaver II,D,incumbent,,,,,,
MO,5,Republican Challenger (Primary concluded),R,candidate,,,,,,
MO,6,Graves,R,incumbent,,,,,,
MO,6,Sam Graves,D,candidate,,,,,,
MO,7,Burlison,R,incumbent,,,,,,
MO,7,Lucas Kunce,D,candidate,,,,,,
MO,8,John Wood,D,candidate,,,,,,
MO,8,Smith,R,incumbent,,,,,,
MS,1,Dianne Thompson,D,candidate,,,,,,
MS,1,Kelly,R,incumbent,,,,,,
MS,2,Bennie Thompson,R,candidate,,,,,,
MS,2,Thompson,D,incumbent,,,,,,
MS,3,Cuest,R,incumbent,,,,,,
MS,3,Ty Pinkins,D,candidate,,,,,,
MS,4,Ezell,R,incumbent,,,,,,
MS,4,Tom Latham,D,candidate,,,,,,
MT,1,Democratic Challenger (Primary concluded),D,candidate,,,,,,
MT,1,Ryan Zinke,R,incumbent,,,,,,
MT,2,Downing,R,incumbent,,,,,,
MT,2,Tim Walberg,D,candidate,,,,,,
NC,1,Don Davis,D,incumbent,,,,,,
NC,1,Republican Challenger (Primary concluded),R,candidate,,,,,,
NC,10,Harrigan,R,incumbent,,,,,,
NC,10,Patrick McHenry,D,candidate,,,,,,
NC,11,Edwards,R,incumbent,,,,,,
NC,11,Tom Bailey,D,candidate,,,,,,
NC,12,Adams,D,incumbent,,,,,,
NC,12,Alma Adams,R,candidate,,,,,,
NC,13,Brad Knott,R,incumbent,,,,,,
NC,13,Brad Knott Challenger,D,candidate,,,,,,
NC,13,Democratic Challenger (Primary concluded),D,candidate,,,,,,
NC,14,Jeff Jackson,D,candidate,,,,,,
NC,14,Moore,R,incumbent,,,,,,
NC,2,Alec Sears,R,candidate,,,,,,
NC,2,Ross,D,incumbent,,,,,,
NC,3,Courtney Genatowski,D,candidate,,,,,,
NC,3,Murphy,R,incumbent,,,,,,
NC,4,Foushee,D,incumbent,,,,,,
NC,4,Mark Walker,R,candidate,,,,,,
NC,5,Foxx,R,incumbent,,,,,,
NC,5,Leah Daughtry,D,candidate,,,,,,
NC,6,Democratic Challenger (Primary concluded),D,candidate,,,,,,
NC,6,Kathy Manning,R,incumbent,,,,,,
NC,6,Kathy Manning Challenger,D,candidate,,,,,,
NC,7,David Rouzer's opponent,D,candidate,,,,,,
NC,7,Rouzer,R,incumbent,,,,,,
NC,8,Brad Knott,D,candidate,,,,,,
NC,8,Harris,R,incumbent,,,,,,
NC,9,Hazel Kanu,D,candidate,,,,,,
NC,9,Hudson,R,incumbent,,,,,,
ND,0,Fedorchak,R,incumbent,,,,,,
ND,0,Kelly Armstrong,D,candidate,,,,,,
NE,1,Flood Challenger,D,candidate,,,,,,
NE,2,Democratic Nominee (Primary concluded),D,candidate,,,,,,
NE,2,Don Bacon,R,incumbent,,,,,,
NE,3,Adrian Smith,D,candidate,,,,,,
NE,3,Smith,R,incumbent,,,,,,
NH,1,Republican Challenger (Primary concluded),R,candidate,,,,,,
NH,2,Republican Challenger (Primary concluded),R,candidate,,,,,,
NJ,1,Donald Payne Jr.,R,candidate,,,,,,
NJ,1,Norcross,D,incumbent,,,,,,
NJ,10,Donald Payne,R,candidate,,,,,,
NJ,10,McIver,D,incumbent,,,,,,
NJ,11,Phil Murphy opponent,R,candidate,,,,,,
NJ,11,Sherrill,D,incumbent,,,,,,
NJ,12,Bonnie Watson Coleman,R,candidate,,,,,,
NJ,12,Coleman,D,incumbent,,,,,,
NJ,2,Democratic Challenger (Primary concluded),D,candidate,,,,,,
NJ,3,Conway,D,incumbent,,,,,,
NJ,3,Frank Pallotta,R,candidate,,,,,,
NJ,4,Josh Gottheimer,D,candidate,,,,,,
NJ,4,Smith,R,incumbent,,,,,,
NJ,5,Gottheimer,D,incumbent,,,,,,
NJ,5,Josh Gottheimer,R,candidate,,,,,,
NJ,6,Frank Pallone,R,candidate,,,,,,
NJ,6,Pallone,D,incumbent,,,,,,
NJ,7,Democratic Challenger (Primary concluded),D,candidate,,,,,,
NJ,7,Tom Kean Jr.,R,incumbent,,,,,,
NJ,8,Menendez,D,incumbent,,,,,,
NJ,8,Robert Menendez,R,candidate,,,,,,
NJ,9,Bill Pascrell Jr. successor,R,candidate,,,,,,
NJ,9,Pou,D,incumbent,,,,,,
NM,1,Gabe Vasquez,R,candidate,,,,,,
NM,1,Stansbury,D,incumbent,,,,,,
NM,2,Gabe Vasquez,D,incumbent,,,,,,
NM,3,Leger Fernandez,D,incumbent,,,,,,
NM,3,Teresa Leger Fernández,R,candidate,,,,,,
NV,1,Dina Titus,D,incumbent,,,,,,
NV,1,Republican Challenger (Primary concluded),R,candidate,,,,,,
NV,1,Republican Challenger TBD,R,candidate,,,,,,
NV,2,Amodei,R,incumbent,,,,,,
NV,2,Mark Amodei,D,candidate,,,,,,
NV,3,Lee,D,incumbent,,,,,,
NV,3,Ravi Patel,R,candidate,,,,,,
NV,4,Dina Titus,R,candidate,,,,,,
NV,4,Horsford,D,incumbent,,,,,,
NY,1,Gabrielle Giffords,D,incumbent,,,,,,
NY,1,Nick LaLota Challenger,D,candidate,,,,,,
NY,10,Dan Goldman,R,candidate,,,,,,
NY,10,Dan Goldman,D,incumbent,,,,,,
NY,11,Nicole Malliotakis,R,incumbent,,,,,,
NY,11,Pat Ryan,D,candidate,,,,,,
NY,12,Jerry Nadler,D,incumbent,,,,,,
NY,12,Nydia Velázquez,R,candidate,,,,,,
NY,13,Adriano Espaillat,D,incumbent,,,,,,
NY,13,Daniel Pinello,R,candidate,,,,,,
NY,14,Alexandria Ocasio-Cortez,R,candidate,,,,,,
